loc,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
"502.0","16.282309347334348","1.0","0.0","16.977336718041734","71.78478490396178","98.03804425679417","12.076463241204687","5.535554487283018","7.406383906484747","0.8757280421554986","0.9735186229800978","0.3480399068394666","0.0","0.17925090924903664","0.0","0.0","28.596224907978257","3.0495300082084427","1.1803113938698475","Y"
"658.0","28.308133012159068","2.715489122363921","0.0","12.177698230548442","85.51831013859675","312.3191421872309","1.673395744778533","10.547339513754894","21.116141250196602","0.8851945936562319","1.0","1.7026076520925453","0.5475999952745622","0.1961283186835511","0.895774775048449","-0.5764556522814954","21.408834912676813","9.316790141216586","2.122589424065058","Y"
"822.0","11.487969489065296","0.16763721708006174","0.0","26.309214177343105","65.85334381559323","96.17795620357074","16.624763692750903","18.932931387163144","11.363586160026408","0.8584460524238978","0.3235245439223326","-0.16511250506670197","-0.21606727892209995","0.36144030317145565","-0.9238948534256639","-0.8175563558497492","47.54320461742553","29.60065292736843","2.4318829717798556","Y"
"675.0","22.280483429453156","3.5297744675100198","0.0","13.877688944605017","73.01848271676596","164.51970221843587","-0.3587417021156445","16.0","15.500448166209718","0.950442222971767","1.0231978304853293","0.47149328453913464","0.545519616770941","0.2516590163540545","1.9755019085012804","1.9556301032824053","28.431669080680525","4.871853113893223","1.3433665492596374","Y"
"1253.0","14.0","1.0","0.0","1.6978016534491074","77.14952983404353","64.65019756046472","6.525006265234322","2.607400442792521","3.4457812417079374","0.8090999608648075","0.9635179245852197","0.0","0.0","0.14160617584367288","0.0","0.0","93.04476460047204","-0.13436121111762667","2.3239981536161998","Y"
"566.0","20.148905556571275","1.0","0.0","24.073646216111193","77.81230600200794","169.83158865673838","9.401971544177442","13.954613147001504","16.634469929753234","0.7197975981871996","0.8886704558529704","4.678178745919554","0.0","0.1296625445038045","0.0","0.0","24.443074253671483","6.161501265831903","2.0758021549988115","Y"
"2193.0","84.1476574228443","1.0","0.0","135.05423541987778","211.23237213346857","1572.5187389211555","72.71587768395916","7.0","69.2688569901602","1.0007742506087398","0.6473145784185094","0.0","0.0","0.11877803731823","0.0","0.0","48.624560941912534","20.55252238633952","1.4396242677537021","Y"
"58.0","3.1645082282559662","2.0","0.0","1.0","8.567315087922946","0.0","0.0","1.0","1.0","-0.06817783114241256","1.0","1.0","0.6844704850823444","0.6121673148384423","1.0","1.0","16.6640408840871","1.280915287531004","0.7474489794334768","N"
"137.0","5.0","1.0","0.0","2.820659239282625","13.516403046477192","0.0","2.6734061425057654","0.028301569858477205","4.0","0.4707683642387487","1.0","0.25788427758335236","0.0","0.9","0.0","0.0","25.701855073932652","3.791555649037794","1.7164543092271305","N"
"65.0","4.694114141893973","1.3069521518839171","0.0","3.075600163162687","12.419104616489822","0.0","0.0","4.888330008904309","5.980920418755294","0.5619430665615982","1.0","0.34775072467769585","-0.15874863029741224","0.7349685956025237","-0.25224290531419313","0.16218637754330692","10.491505661556161","2.7334407075360883","1.2646128673404333","N"
