loc,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
"51.0","1.3113562265436385","0.812765758047994","0.0","5.923117752185287","2.510369818650573","-2.1831686582663674","5.310976363605431","1.357488298660394","1.3741178950262845","2.0","0.0","0.0","-0.14365939617943949","0.07536013266328064","0.31263455106796645","0.21936927086336414","-2.796585258292759","0.3298881934281239","0.12319993930119737","Y"
"245.0","5.265712484001543","2.342426581493296","0.0","18.85862268674221","29.44668884819621","2.0585909386090053","4.454658720461532","17.446346727140043","4.717036666228366","0.16717829499651182","0.6530629360420452","0.7065345929616795","0.6220165283606847","0.514322017662072","0.0","0.0","49.112014041169516","3.382243367618349","1.6612409971933637","Y"
"2.0","1.7969520839513575","1.0","0.0","3.0","2.303806538932965","0.7730525041704045","2.0","1.8279072064023363","2.1754718132521074","2.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","Y"
"34.0","5.0","2.0","0.0","4.0","10.0","8.0","0.8183929998445924","4.0","5.0","0.915329205966316","0.6475138763943532","0.0","0.8449576191425748","0.4098396527026079","0.0","0.0","5.532849247883712","1.0","0.6672449008521992","Y"
"1.0","1.0","1.0","0.0","4.0","1.0","0.0","3.0","1.0","1.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","Y"
"1.0","1.0","1.0","0.0","4.0","1.0","0.0","3.0","1.0","1.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","Y"
"31.0","5.0","2.0","0.0","3.6960372018498107","10.0","7.320747692488311","0.33581317487696494","4.0","5.0","0.5220208728499898","0.0","0.0","0.58560321732856","0.47554031436590655","0.0","0.0","5.098263072953512","1.0","0.8","Y"
"38.0","5.0","2.0","0.0","8.0","12.620997710177095","8.569091400447762","4.0","6.0","5.0","1.0095294617412498","1.3330532372602566","0.0","0.9","0.4","-0.1930183085788262","0.5802278145614128","6.273452411937781","1.0","0.6","Y"
"24.0","23.020830460306247","1.0","0.0","36.26884875926147","25.385837392195633","301.9813883863122","43.83659981944629","5.146321917514178","24.867477159190134","2.0","0.0","0.0","0.0","0.2426331341933259","0.0","0.0","0.0","1.0","1.0","Y"
"1.0","1.0","1.0","0.0","4.0","1.0","0.0","3.0","1.0","1.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","Y"
"5.0","4.74453782086672","1.0","0.0","36.057281244291296","5.270194816109374","9.103638445444263","36.99679870013886","0.0","4.680495805845796","2.0","0.0","0.0","0.0","0.5700041850945778","0.0","0.0","0.0","1.0","1.0","Y"
"62.0","5.0","2.0","0.0","9.36099106712792","12.21675913855537","10.0","4.0","7.527482356732596","5.0","2.0","0.0","0.0","0.9","0.4","1.0","2.1727450313601504","12.023181531288897","1.0","0.6","Y"
"51.0","5.0","2.0","0.0","6.413936752892282","12.5830240223632","10.0","-1.2831125339855753","6.0","5.0","2.0","0.0","0.0","0.759581557410007","0.46535284116281805","0.21093570069917553","-0.28669629529799956","9.154879217358578","1.0","0.756474098491747","Y"
"131.0","4.0","2.0","0.0","10.0","20.0","6.0","4.0","8.0","4.0","2.0","0.0","0.0","0.931034483","0.416666667","1.0","1.0","31.75","1.0","0.5","Y"
"153.0","5.0","2.0","0.0","10.0","22.0","10.0","4.0","8.0","5.0","2.0","0.0","0.0","0.9","0.4","1.0","1.0","29.6","1.0","0.6","Y"
"5.0","5.3484447997679885","1.0","0.0","3.828077446508776","5.199938905259579","10.63153158899628","2.826440242455301","2.4494890844635036","4.692162319063708","2.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0","1.0","1.0","Y"
"23.0","3.532618825919227","1.0","0.0","1.9128877002449154","6.535663279364213","-0.254035200113611","1.0","-0.690524868267266","4.590775319743081","0.8345825232554234","1.2587587276602799","0.0","0.0","0.6612117119700036","0.0","0.0","5.625566511124343","1.7268070665185058","0.9552580792655042","Y"
